;ARTICLE_TITLE
101;Comparing Rural and Urban Social and Economic Behavior in Uganda: Insights from Mobile Voice Service Usage
102;A handset-centric view of smartphone application use
103;Automated Trading with Machine Learning on Big Data
104;Using Intelligent Prefetching to Reduce the Energy Consumption of A Large-Scale Storage System
105;Study on big data center traffic management based on the seperation of large-scale data stream
106;Big meter data analysis of the energy efficiency potential in Stockholm's building stock
107;Suggested Legal Framework for Student Data Privacy in the Age of Big Data and Smart Devices
108;A Connectome Computation System for discovery science of brain
109;Storing and manipulating environmental big data with JASMIN
110;Big Data and Intellectual Capital: Conceptual Foundations
111;How Data Partitioning Strategies and Subset Size Influence the Performance of an Ensemble?
112;Optimizing star-coordinate visualization models for effective interactive cluster exploration on big data
113;Kernels, Degrees of Freedom, and Power Properties of Quadratic Distance Goodness-of-Fit Tests
114;Big data in gastroenterology research
115;Big Data in Organ Transplantation: Registries and Administrative Claims
116;Large-scale electrophysiology: Acquisition, compression, encryption, and storage of big data
117;Collaborative Web Platform for UNIX-Based Big Data Processing
118;Effective and efficient data sampling using bitmap indices
119;Process Data Analytics in the Era of Big Data
120;Click Here for a Data Scientist: Big Data, Predictive Analytics, and Theory Development in the Era of a Maker Movement Supply Chain
121;Big Data: Mining of Log File through Hadoop
122;A Framework for Root Cause Detection of Sub-Batch Processing System for Semiconductor Manufacturing Big Data Analytics
123;Data mining for official statistics Challenges and opportunities
124;Reliability Meets Big Data: Opportunities and Challenges
125;The False Promise of Big Data: Can Data Mining Replace Hypothesis-Driven Learning in the Identification of Predictive Performance Metrics?
126;Bibliographic Records as Humanities Big Data
127;Compound signature detection on LINCS L1000 big data
128;"Crowd-Funded Micro-Grants for Genomics and ""Big Data"": An Actionable Idea Connecting Small (Artisan) Science, Infrastructure Science, and Citizen Philanthropy"
129;NIM: Scalable Distributed Stream Process System on Mobile Network Data
130;Demand Response Targeting Using Big Data Analytics
131;Manifesto for a new (computational) cognitive revolution
132;Public Auditing for Big Data Storage in Cloud Computing -- A Survey
133;Community Intelligence in Knowledge Curation: An Application to Managing Scientific Nomenclature
134;A Big Data implementation based on Grid Computing
135;BANKSAFE: Visual analytics for big data in large-scale computer networks
136;Milieu: Lightweight and Configurable Big Data Provenance for Science
137;Challenges and solutions for marketing in a digital era
138;Being stuck in (live) time: the sticky sociological imagination
139;"Studying Social Relations in MMOG Play: An Illustration of Using Ethnography to Frame ""Big Data"""
140;EEGVIS: a MATLAB toolbox for browsing, exploring, and viewing large datasets
141;Software for autonomous astronomical observatories: challenges and opportunities in the age of big data
142;Celebrating Organization Theory: The After-Party
143;The Sensing Business Model
144;High frequency batch-oriented computations over large sliding time windows
145;Do the treasures of 'big data' combined with behavioural intervention therapies contain the key to the mystery of large psychiatric issues?
146;Current Status and Development Trend of Power Big Data for the Smart Grid
147;Visualization and Rhetoric: Key Concerns for Utilizing Big Data in Humanities Research A Case Study of Vaccination Discourses: 1918-1919
148;Big Data and Policy design for Data Sovereignty: A Case Study on Copyright and CCL in South Korea
149;Big Data and Management Issues
150;GPU-Accelerated Adaptive Compression Framework for Genomics Data
151;A graph based analysis of leak localization in urban water networks
152;Cloud Computing Model for Big Geological Data Processing
153;Parallel Bayesian Additive Regression Trees
154;Networking Research Activities at Fermilab for Big Data Analysis
155;MataNui - A Distributed Storage Infrastructure for Scientific Data
156;Customer Preference Analysis Based on SNS Data
157;Identity crisis: Global challenges of identity protection in a networked world
158;Applying NoSQL Databases for Operationalizing Clinical Data Mining Models
159;BitTorious: global controlled genomics data publication, research and archiving via BitTorrent extensions
160;US Ignite Testbeds Advanced Testbeds Enable Next-Generation Applications
161;Using APIs for Data Collection on Social Media
162;Learning Continuous Time Bayesian Network Classifiers Using MapReduce
163;Continuous Clustering in Big Data Learning Analytics
164;A distributed processing framework of incremental text clustering under the background of big data
165;Fuzzy c-Means Algorithms for Very Large Data
166;An Item based Geo-Recommender System Inspired by Artificial Immune Algorithms
167;Optimizing an index with spatiotemporal patterns to support GEOSS Clearinghouse
168;Big Data In Health Care: Using Analytics To Identify And Manage High-Risk And High-Cost Patients
169;On a Generalized Approach to Order-Independent Image Composition in Parallel Visualization
170;A Web-based Solution to Collect, Manage and Analyse Auditory Brainstem Response Data
171;Big Data Platform Development with a Domain Specific Language for Telecom Industries
172;Analyzing Users' Web Surfing Patterns to Trace Terrorists and Criminals
173;Hidden Markov Models for Abnormal Event Processing in Transportation Data Streams
174;A parallel IRAM algorithm to compute PageRank for modeling epidemic spread
175;A Micro-benchmark Suite for Evaluating HDFS Operations on Modern Clusters
176;Detecting Anomaly Teletraffic Using Stochastic Self-similarity Based on Hadoop
177;Psycho-Informatics: Big Data shaping modern psychometrics
178;Optique: Towards OBDA Systems for Industry
179;Visual Analytics for the Big Data Era - A Comparative Review of State-of-the-Art Commercial Systems
180;Analyzing the Political Landscape of 2012 Korean Presidential Election in Twitter
181;Heterogeneous Cloud Framework for Big Data Genome Sequencing
182;Analyzing Big Data: Social Choice and Measurement
183;Using a Multitasking GPU Environment for Content-Based Similarity Measures of Big Data
184;Towards an Information Governance Framework for the Cloud
185;Towards the Cloudification of the Social Networks Analytics
186;Searching Inter-disciplinary Scientific Big Data based on Latent Correlation Analysis
187;Tile Based Visual Analytics for Twitter Big Data Exploratory Analysis
188;Collaboration, interdisciplinary thinking, and communication: new approaches to K-12 ecology education
189;Large-scale Heterogeneous Program Retrieval through Frequent Pattern Discovery and Feature Correlation Analysis
190;Big Data Scalability Issues inWAAS
191;BIG DATA. BIG DATA WITH NETEZZA
192;Smart Green Infrastructure for Innovation and Transformation Hosting Environments
193;What does user focus mean? Marketing strategy and tactics
194;ONLINE LOGISTIC REGRESSION ON MANIFOLDS
195;Abnormal Behavior Detection Technique Based on Big Data
196;Forecasting consumer behavior with innovative value proposition for organizations using Big Data Analytics
197;GRANULARITIES AND INCONSISTENCIES IN BIG DATA ANALYSIS
198;Big Data Through Cross-Platform Interest-Based Interactivity
199;Human immunology in the era of big data
200;Multiscale quality assessment of Global Human Settlement Layer scenes against reference data using statistical learning
201;Individualizing Care for Ovarian Cancer Patients Using Big data Response
202;MOBBED: a computational data infrastructure for handling large collections of event-rich time series datasets in MATLAB
203;Policy Design based on Risk at Big Data Era: Case Study of Privacy Invasion in South Korea
204;Opportunities of Innovation under Challenges of Big Data
205;SciFlow: A Dataflow-Driven Model Architecture for Scientific Computing using Hadoop
206;GOOSE: Semantic search on Internet connected sensors
207;BIG DATA AND PREDICTIVE REASONABLE SUSPICION
208;Two-phase grouping-based resource management for big data processing in mobile cloud computing
209;New Insight to Preserve Online Survey Accuracy and Privacy in Big Data Era
210;Progress towards automated Kepler scientific workflows for computer-aided drug discovery and molecular simulations
211;Cloudlet-based for Big Data Collection in Body Area Networks
212;On establishing nonlinear combinations of variables from small to big data for use in later processing
213;Demonstration of an Ultra-Low Latency Energy Efficient Internet for Cloud Computing
214;A Novel Scheduling Algorithm based on Clustering Analysis and Data Partitioning For Big Data
215;Research on the Opinion Mining System for Massive Social Media Data
216;Becoming data-savvy in a big-data world
217;'Big data' approaches to trauma outcome prediction and autonomous resuscitation
218;Distributed Dictionary Learning for Sparse Representation in Sensor Networks
219;SAMPLING BASED IMAGE SPLITTING IN LARGE SCALE DISTRIBUTED COMPUTING OF EARTH OBSERVATION DATA
220;Big Data in Nephrology: Friend or Foe?
221;Big data analysis of hollow fiber direct contact membrane distillation (HFDCMD) for simulation-based empirical analysis
222;Achieving Big Data Privacy via Hybrid Cloud
223;Data Clustering-based Anomaly Detection in Industrial Control Systems
224;Radiogenomics: Radiobiology Enters the Era of Big Data and Team Science
225;Big data in biomedicine
226;Employing digital crowdsourced information resources: Managing the emerging information commons
227;Leveraging Trends in Online Searches for Product Features in Market Response Modeling
228;A Clustering-based Collaborative Filtering Approach for Mashups Recommendation over Big Data
229;Big data: are large prospective randomized trials obsolete in the future?
230;P-DOT: A Model of Computation for Big Data
231;Multi-Dimensional Production Planning using a Vertical Data Integration Approach A contribution to modular factory design
232;Scalable Sentiment Classification for Big Data Analysis Using Naive Bayes Classifier
233;English Research Based on Big Data and Data Mining
234;Study on the detection of red-tide outbreaks using big satellite database
235;Beyond the hype: Big data concepts, methods, and analytics
236;AGRICULTURAL IMPACTS Big data insights into pest spread
237;Developing ethical approaches to data and civil society: from availability to accessibility
238;Ganging Up on Big Data Computer-Intermediated Collaborative Analysis
239;Semantic-based QoS management in cloud systems: Current status and future challenges
240;Automated Analysis of Power Systems Disturbance Records: Smart Grid Big Data Perspective
241;Ecological views of big data: Perspectives and issues
242;24 HOUR NEAR REAL TIME PROCESSING AND COMPUTATION FOR THE JPL AIRBORNE SNOW OBSERVATORY
243;Intelligent Data Analysis and Its Challenges in Big Data Environment
244;The Evolution of Natural Cities from the Perspective of Location-Based Social Media
245;Knowledge diffusion path analysis of data quality literature: A main path analysis
246;The Promise and Potential of Big Data: A Case for Discovery Informatics
247;A PARALLEL ALGORITHM FOR BIG TENSOR DECOMPOSITION USING RANDOMLY COMPRESSED CUBES (PARACOMP)
248;A New Approach to the Vegetable Production and Distribution System
249;GAME THEORY APPLIED TO BIG DATA ANALYTICS IN GEOSCIENCES AND REMOTE SENSING
250;Comparative Performance Analysis of a Big Data NORA Problem on a Variety of Architectures
251;DataMPI: Extending MPI to Hadoop-like Big Data Computing
252;Mining of protein-protein interfacial residues from massive protein sequential and spatial data
253;Fitting the Problem to the Paradigm: Algorithm Characteristics Required for Effective Use of MapReduce
254;Distributed Framework for Big Data Processing: a Goal Driven Approach
255;Big Data And New Knowledge In Medicine: The Thinking, Training, And Tools Needed For A Learning Health System
256;TRACKING, TAGGING AND SCANNING THE CITY
257;Translational Research 2.0: a framework for accelerating collaborative discovery
258;Evaluation of Parallel Algorithms of Traffic Volume Statistics per Cell in Cellular Network based on MapReduce Programming Model
259;Measuring Surveillance In Online Advertising: A Big Data Approach
260;The 2012 Morris Hansen Lecture: Thank You Morris, et al., For Westat, et al.
261;Pareto frontier for job execution and data transfer time in hybrid clouds
262;A hybrid memory built by SSD and DRAM to support in-memory Big Data analytics
263;Intelligent Platforms for Disease Assessment Novel Approaches in Functional Echocardiography
264;A Big Data Model supporting Information Recommendation in Social Networks
265;'Big data', Hadoop and cloud computing in genomics
266;Big Data: New Tricks for Econometrics
267;Developing Public Policy To Advance The Use Of Big Data In Health Care
268;Usability of small crisis data sets in the absence of big data
269;The commodification of patient opinion: the digital patient experience economy in the age of big data
270;Semantic Information Fusion of Linked Open Data and Social Big Data for the Creation of an Extended Corporate CRM Database
271;Store, Schedule and Switch - A New Data Delivery Model in the Big Data Era
272;This One Does Not Go Up to 11: The Quantified Self Movement as an Alternative Big Data Practice
273;Is Privacy Still an Issue in the Era of Big Data? -Location disclosure in spatial footprints
274;Next Big Thing in Big Data: The Security of the ICT Supply Chain
275;The Pediatrix BabySteps (R) Data Warehouse - A Unique National Resource for Improving Outcomes for Neonates
276;A novel group key transfer for big data security
277;Numerical Analyses of Collective Opinions in Social Networks and Digital Democracy
278;An experiment in Big Data: Storage, querying and visualisation of data taken from the Liverpool Telescope's wide field cameras
279;Framework Formation of Financial Data Classification Standard in the era of the Big Data
280;Feasibility Analysis of Big Log Data Real Time Search Based on Hbase and ElasticSearch
281;Influence Factor Based Opinion Mining of Twitter Data Using Supervised Learning
282;A Time Efficient Approach for Detecting Errors in Big Sensor Data on Cloud
283;Political Campaigns and Big Data
284;Big Data Paradigm Developed in Volunteer Grid System with Genetic Programming Scheduler
285;Big Data: Issues, Challenges, Tools and Good Practices
286;Big Data, Little Decisions: Tightening the Loop between Data Crunching and Human Expertise
287;Distributed-Memory Parallel Algorithms for Generating Massive Scale-free Networks Using Preferential Attachment Model
288;YASA: Yet Another Time Series Segmentation Algorithm for Anomaly Detection in Big Data Problems
289;Rule Mining using Many-sorted Logic
290;Deploying Data-Intensive Service Composition with a Negative Selection Algorithm
291;Dimensionality reduction of medical big data using neural-fuzzy classifier
292;PoliTwi: Early detection of emerging political topics on twitter and the impact on concept-level sentiment analysis
293;Cooperative Decision Making Algorithm for Large Networks Using MapReduce Programming Model
294;Big Data Solutions for Predicting Risk-of-Readmission for Congestive Heart Failure Patients
295;Big Data - Opportunities and Challenges
296;Inter-category Map: Building Cognition Network of General Customers through Big Data Mining
297;Systems Biology in the Context of Big Data and Networks
298;The big data challenges of connectomics
299;Behavioral insights on big data: using social media for predicting biomedical outcomes
300;Visualizing Large Scale Patterns and Anomalies in Geospatial Data
301;Spectral multidimensional scaling
302;SaC-FRAPP: a scalable and cost-effective framework for privacy preservation over big data on cloud
303;High Performance and High Availability Archived Stream System for Big Data
304;Improving Structure: Logical Sequencing of Mined Process Models
305;GURLS: A Least Squares Library for Supervised Learning
306;Highly Scalable Sequential Pattern Mining Based on MapReduce Model on the Cloud
307;Split File Model for Big Data in Low Throughput Storage
308;Correlated Component Regression: Re-thinking Regression in the Presence of Near Collinearity
309;Methods of using real-time social media technologies for detection and remote monitoring of HIV outcomes
310;Supply Chain Game Changers-Mega, Nano, and Virtual Trends-And Forces That Impede Supply Chain Design (i.e., Building a Winning Team)
311;Minimum Storage BASIC Codes: A System Perspective
312;From Supply Chains to Supply Ecosystems: Implications for Strategic Sourcing Research and Practice
313;Cloud Computing Availability: Multi-clouds for Big Data Service
314;Beyond Open Big Data: Addressing Unreliable Research
315;Countering the concept-drift problems in big data by an incrementally optimized stream mining model
316;Transformative Education Web 2.0 Systems for Enriching High School STEM Education
317;Services to Support Knowledge Sharing in Complex Business Networks, Big Data as the Source
318;Big Data: Survey, Technologies, Opportunities, and Challenges
319;IntegrityMR: Integrity Assurance Framework for Big Data Analytics and Management Applications
320;IK-SVD: Dictionary Learning for Spatial Big Data via Incremental Atom Update
321;Efficient Skyline Computation on Big Data
322;Review of information extraction technologies and applications
323;Enabling proactive data management in virtualized Hadoop clusters based on predicted data activity patterns
324;Working Within a Black Box: Transparency in the Collection and Production of Big Twitter Data
325;Evaluating the Performance of Multi-tenant Elastic Extension Tables
326;Predicting Health Care Risk with Big Data Drawn from Clinical Physiological Parameters
327;Coastal 'Big Data' and nature-inspired computation: Prediction potentials, uncertainties, and knowledge derivation of neural networks for an algal metric
328;Second-Generation Big Data Systems
329;High Performance Big Data Clustering
330;Behavior Life Style Analysis for Mobile Sensory Data in Cloud Computing through MapReduce
331;Design of Randomized Experiments in Networks
332;Meme Media and Knowledge Federation for Exploratory Visual Analytics of Big Data
333;Digitisation, 'Big Data' and the transformation of accounting information
334;IoT4S: a new architecture to exploit sensing capabilities in smart cities
335;"The ""Social Life of Methods': A Critical Introduction"
336;"Concept of Operations for Knowledge Discovery from ""Big Data"" Across Enterprise Data Warehouses"
337;A Cluster-Based Data-Centric Model for Network-Aware Task Scheduling in Distributed Systems
338;Digital Market Manipulation
339;A Comparative Study of Enterprise and Open Source Big Data Analytical Tools
340;Big data transforms the interpretation of the social media
341;Economical and Effcient Big Data Sharing with i-Cloud
342;Big data's impact on privacy, security and consumer welfare
343;Distributed filesystem forensics: XtreemFS as a case study
344;RUBA: Real-time Unstructured Big Data Analysis Framework
345;Genomics data curation roles, skills and perception of data quality
346;A nutrition/health mindset on commercial Big Data and drivers of food demand in modern and traditional systems
347;Shared Disk Big Data Analytics with Apache Hadoop
348;A hybrid approach for scalable sub-tree anonymization over big data using Map Reduce on cloud
349;High-dimensional, massive sample-size Cox proportional hazards regression for survival analysis
350;"Modeling of System of Systems via Data Analytics - Case for ""Big Data"" in SoS"
351;Volume-based Data Representation of Big Data Analysis
352;A big data urban growth simulation at a national scale: Configuring the GIS and neural network based Land Transformation Model to run in a High Performance Computing (HPC) environment
353;Efficient Data Partitioning Model for Heterogeneous Graphs in the Cloud
354;Engineering the Value Network of the Customer Interface and Marketing in the Data-Rich Retail Environment
355;Disclosing Big Data
356;YCSB and TPC-H: Big Data and Decision Support Benchmarks
357;A distributed big data storage and data mining framework for solar-generated electricity quantity forecasting
358;How Deep Data Becomes Big Data
359;Why Clouds Give Me a Case of the Vapors
360;Transmission protocol for secure big data in two-hop wireless networks with cooperative jamming
361;Parallel Selective Algorithms for Nonconvex Big Data Optimization
362;A Structure Fidelity Approach for Big Data Collection in Wireless Sensor Networks
363;"In Silico target fishing: addressing a ""Big Data"" problem by ligand-based similarity rankings with data fusion"
364;Cloud-based Big Data Mining & Analyzing Services Platform integrating R
365;DS2: A DHT-based substrate for distributed services
366;A Fuzzy Approach for the Evaluation of Accounting Information Quality under Big Data Environmental-Case Study from China
367;Civic Hackathons: Innovation, Procurement, or Civic Engagement?
368;E-Science and the data deluge
369;ONLINE DICTIONARY LEARNING FROM BIG DATA USING ACCELERATED STOCHASTIC APPROXIMATION ALGORITHMS
370;Network Load Predictions Based on Big Data and the Utilization of Self-Organizing Maps
371;Orthogonal rotations in latent semantic analysis: An empirical study
372;CloudJet4BigData: Streamlining Big Data via an accelerated socket interface
373;Managing the Computational Chemistry Big Data Problem: The ioChem-BD Platform
374;The Big Data Problem: Turning Maps into Knowledge
375;On Theory in Ecology
376;A Distributed GIS Model Based On Hadoop
377;A Classifier for Big Data
378;Research on System Development of Smart City
379;PRIMEBALL: A Parallel Processing Framework Benchmark for Big Data Applications in the Cloud
380;Harnessing modern web application technology to create intuitive and efficient data visualization and sharing tools
381;Knowledge Mining in Big Data - A Lesson From Algebraic Geometry
382;Novel implementation of memristive systems for data encryption and obfuscation
383;Building an Experimental Platform for Cloud and Big Data Education
384;Effort at Constructing Big Data Sensor Networks for Monitoring Greenhouse Gas Emission
385;An Approach to Model Complex Big Data Driven Cyber Physical Systems
386;Data barns, ambient intelligence and cloud computing: the tacit epistemology and linguistic representation of Big Data
387;An Analysis of the Korea National DNS Using Big Data Technology
388;Parallel Mining Frequent Patterns over Big Transactional Data in Extended MapReduce
389;Lambda Vision
390;OPC: An Effective Memory Computing Solution of Big Data For PC
391;"Building Trust in the Power of ""Big Data"" Research to Serve the Public Good"
392;Managing Data and Processes in Cloud-Enabled Large-Scale Sensor Networks: State-Of-The-Art and Future Research Directions
393;Barriers to ITS Adoption: A Systematic Mapping Study
394;Visual analysis of social networks in space and time using smartphone logs
395;VAST Challenge 2012: Visual Analytics for Big Data
396;Malicious URL Filtering - A Big Data Application
397;Cyberinfrastructure and the Biomedical Sciences
398;Multi-Application and Large Shared Memory in a Mechatronic System for Massive Computation
399;Virtual GEOINT Center: C2ISR through an avatar's eyes
400;TOWARDS HPC FOR THE DIGITAL HUMANITIES, ARTS, AND SOCIAL SCIENCES
401;T-Storm: Traffic-aware Online Scheduling in Storm
402;Lost in Translation ( LiT)
403;Optimized big data K-means clustering using MapReduce
404;SeqHBase: a big data toolset for family based sequencing data analysis
405;A Cognitive Group Hierarchy Game Theoretic Framework for Bandwidth Management
406;A novel policy-driven reversible anonymisation scheme for XML-based services
407;Private traits and attributes are predictable from digital records of human behavior
408;Big data and clinical research: perspective from a clinician
409;The Stratosphere platform for big data analytics
410;INTO THE AGE OF NON-ECONOMICS
411;Detecting Unfolding Crises with Visual Analytics and Conceptual Maps Emerging Phenomena and Big Data
412;On Interference-aware Provisioning for Cloud-based Big Data Processing
413;Synthetic Biology Driven by Harnessing Forces of Disruptive Innovation
414;Cultural evolution over the last 40 years in China: Using the Google Ngram Viewer to study implications of social and political change for cultural values
415;"Redundancy Control in Pathway Databases (ReCiPa): An Application for Improving Gene-Set Enrichment Analysis in Omics Studies and ""Big Data"" Biology"
416;Big Data V4 for integrating patient reported outcomes and quality-of-life indices in clinical practice
417;Method And System For Educational Networking
418;Composite Data Mapping for Spherical GUI Design: Clustering of Must-Watch and No-Need TV Programs
419;Power, knowledge, and the subjects of privacy: understanding privacy as the ally of surveillance
420;Parallel construction of decision trees with consistently non-increasing expected number of tests
421;Minerva: Accelerating Data Analysis in Next-Generation SSDs
422;Creation of the BMA Ensemble for SST using a Parallel Processing Technique
423;Distributed Adaptive Routing Convergence to Non-Blocking DCN Routing Assignments
424;Tourism marketing research: Past, present and future
425;Technology and Application of Overhead Transmission Line Corridor Inspection
426;An analysis of digestive diseases blog in the viewpoint of big data
427;HireSome-II: Towards Privacy-Aware Cross-Cloud Service Composition for Big Data Applications
428;Government Information Policy in the Era of Big Data
429;Health Level Seven Interoperability Strategy: Big Data, Incrementally Structured
430;Representational Learning with ELMs for Big Data
431;An Approachable Analytical Study on Big Educational Data Mining
432;Parallel Processing of Big Data using Power Iteration Clustering over MapReduce
433;Reality mining in urban space
434;Big Data Approach in an ICT Agriculture Project
435;Translational informatics in personalized medicine: an update for 2014
436;Big Data: A Review
437;Integrating big data and actionable health coaching to optimize wellness
438;Organic Streams: Data Aggregation and Integration Based on Individual Needs
439;How to Store and Process Big Data: Are Today's Databases Sufficient?
440;Visualizing Big data with Compressed Score Plots: Approach and research challenges
441;Big Data Clustering: A Review
442;A Big Data Driven Model for Taxi Drivers' Airport Pick-up Decisions in New York City
443;Best-Fit Mobile Recharge Pack Recommendation
444;A Resource Efficient Big Data Analysis Method for the Social Sciences: the case of global IP activity
445;Mining Repetitive Sequences Using A Big Data Ecosystem
446;Querying Streaming XML Big Data with Multiple Filters on Cloud
447;Looking Back at Steel Research International and Its Future
448;Importance, Use and Organizational Assignment of Web Analytics for Social Economy Organizations in Austria - An initial empirical study
449;PIFCard: A High Performance Flash Card Matching the Parallelism and Latency of NAND Flash with Those of PCI-E Interface
450;Input Projection Algorithms Influence in Prediction and Optimization of QoS Accuracy
