;ARTICLE_TITLE;PUBYEAR;scopus
67;The Road to the Chinese Smart City: Progress, Challenges, and Future Directions;2016;True
68;A secure and scalable storage system for aggregate data in IoT;2015;True
69;Strategic prototyping for developing big data systems;2016;True
70;Pervasive Monitoring and Opportunistic Security: Defending the Internet's Protocols;2015;True
71;The impact of virtually crowdsourced social support on individual health: Analyzing big datasets for underlying causalities;2015;True
72;The current status and challenges of establishment and utilization of medical big data in China;2015;True
73;Big data based analysis framework for product manufacturing and maintenance process;2015;True
74;Mining big data in real time;2013;True
75;"A ""big data"" approach to HIV epidemiology and prevention";2015;True
76;Big data and the well-being nexus: Tracking Google search activity by state IQ;2015;True
77;Spatial-temporal characterization of synchrophasor measurement systems - A big data approach for smart grid system situational awareness;2015;True
78;The perfect neuroimaging-genetics-computation storm: Collision of petabytes of data, millions of hardware devices and thousands of software tools;2014;True
79;A data science solution for mining interesting patterns from uncertain big data;2015;True
80;Spatial data mining in the context of big data;2013;True
81;Geovisualization and correlation analysis between geotagged Twitter and JMA rainfall data: Case of heavy rain disaster in Hiroshima;2015;True
82;A cloud-based approach for Gene Regulatory Networks dynamics simulations;2015;True
83;App'ification of enterprise software: A multiple-case study of Big data business applications;2014;True
84;Towards the next generation intelligent BPM - In the era of big data;2013;True
85;FGSN: Fuzzy Granular Social Networks - Model and applications;2015;True
86;Smart-contents visualization of publishing big data using NFC technology;2012;True
87;Mining logistics trajectory knowledge from RFID-enabled production big data;2013;True
88;GreeDi: An energy efficient routing algorithm for big data on cloud;2014;True
89;PEDAL: a dynamic analysis tool for efficient concurrency bug reproduction in big data environment;2016;True
90;Towards a Big Data system disaster recovery in a Private Cloud;2014;True
91;SMASH: A Cloud-Based Architecture for Big Data Processing and Visualization of Traffic Data;2016;True
92;Parallel implementation of Apriori algorithms on the Hadoop-MapReduce platform - An evaluation of literature;2016;True
93;Game theory applied to big data analytics in geosciences and remote sensing;2013;True
94;Emergence of macro-variables by evaluation and clustering of micro- activities;2015;True
95;Networking big data: Definition, key technologies and challenging issues of transmission;2015;True
96;Meta Data: Big Data Research Evolving across Disciplines, Players, and Topics;2015;True
97;Big Data and Its Research Implications for Higher Education: Cases from UK Higher Education Institutions;2016;True
98;Efficient kNN classification algorithm for big data;2016;True
99;A framework for the efficient collection of big data from online social networks;2015;True
100;Ensemble classification over stock market time series and economy news;2013;True
101;Smart urbanism and digital activism in Southern Italy;2015;True
102;Analysis of the construction waste management performance in Hong Kong: The public and private sectors compared using big data;2014;True
103;DAIAD: Open water monitoring;2014;True
104;Conductor temperature estimation using the hadoop mapreduce framework for smart grid applications;2015;True
105;Management accounting in context: Industry, regulation and informatics;2016;True
106;A distributed big data storage and data mining framework for solar-generated electricity quantity forecasting;2012;True
107;Information support for real-time decision-making based on big data: Knowledge-enabled machine activeness and system efficiency;2015;True
108;A novel marine big data analysis framework based on complex network theory;2016;True
109;A new surveillance method of machine status using big data;2015;True
110;A new sampling approach for classification of imbalanced data sets with high density;2014;True
111;The role of Big Data in explaining disaster resilience in supply chains for sustainability;2015;True
112;Design of real-time data analysis system based on Impala;2014;True
113;"Studying social relations in MMOG play: An illustration of using ethnography to frame ""big data""";2012;True
114;LCBM: Statistics-based parallel collaborative filtering;2014;True
115;A study and analysis of recommendation systems for location-based social network (LBSN) with big data;2014;True
116;Petuum: A new platform for distributed machine learning on big data;2015;True
117;Analysis on the library digitization construction under the big data era of university;2014;True
118;Uberveillance and the internet of things and people;2014;True
119;Big data analysis of the human brain?s functional interactions based on fMRI;2014;True
120;Evaluation of big data processing capabilities based on chinese hardware and software platform;2014;True
121;AlmaNebula: A computer forensics framework for the Cloud;2013;True
122;Modeling virtual organizations with Latent Dirichlet Allocation: A case for natural language processing;2014;True
123;Quality Measurement beyond Bibliometry;2016;True
124;The history of and prospects for ITS with a focus on car navigation systems;2015;True
125;Incorporating experiential learning into big data analytic classes;2015;True
126;Big data storage mechanism based on MongoDB in front communication platform;2015;True
127;Exploiting social judgements in big data analytics;2015;True
128;Identification of big data opportunities and challenges in statistics Indonesia;2014;True
129;A performance modeling language for big data architectures;2013;True
130;Task-tree based large-scale mosaicking for massive remote sensed imageries with dynamic DAG scheduling;2014;True
131;An empirical study on architecture, challenges, taxonomy for enterprise application modernization;2015;True
132;Real-time analysis of parameters of multiple object detection systems;2015;True
133;MOOC for medical big data research: An important role in hypertension big data research;2015;True
134;Nursing Knowledge: Big Data Science-Implications for Nurse Leaders;2015;True
135;Study on the optimization of data mining in big data;2014;True
136;Tutorial: Big data analytics: Concepts, technologies, and applications;2014;True
137;Enabling scientific data storage and processing on big-data systems;2015;True
138;One-pass inconsistency detection algorithms for big data;2016;True
139;Research on influence of big data to Chinese E-govemment;2015;True
140;An efficient prediction for heavy rain from big weather data using genetic algorithm;2014;True
141;Big data summarization using semantic feture for IoT on cloud;2014;True
142;Big data in literary studies;2015;True
143;Changing Business Context: Challenges and Opportunities: Dialogue with Thought Leaders;2014;True
144;Sketch and validate for big data clustering;2015;True
145;Design criteria to model groups in big data scenarios: Algorithms and best practices*;2015;True
146;Cassandra: What it does and what it does not and benchmarking;2015;True
147;Prospective study on the potential of big data;2015;True
148;Mining frequent itemsets in data streams based on genetic algorithm;2013;True
149;Towards integrated study of data management and data mining;2015;True
150;The mechanism of situation data fusion based on trust in wireless sensor network;2015;True
151;Risk-adaptive access control model for big data in healthcare;2015;True
152;Secondary structure of future internet based on broadcast-storage concept;2015;True
153;Harnessing and boosting university brand in the age of big data;2015;True
154;Performance analysis of Hadoop MapReduce on an OpenNebula cloud with KVM and OpenVZ virtualizations;2012;True
155;What can big data and text analytics tell us about hotel guest experience and satisfaction?;2015;True
156;A Datalog Engine for Iterative Graph Algorithms on Large Clusters;2016;True
157;Selecting rows and columns for training support vector regression models with large retail datasets;2013;True
158;Postnormal times revisited;2015;True
159;Connectomics to semantomics: Addressing the brain's big data challenge;2015;True
160;Analysis of Technology Trends Based on Diverse Data Sources;2015;True
161;A cloud-based system framework for performing online viewing, storage, and analysis on big data of massive BIMs;2015;True
162;Biobanks-A source of large biological data sets: Open problems and future challenges;2014;True
163;Theoretical considerations for game-based e-learning analytics;2015;True
164;The role of technology in the management and exploitation of internal business intelligence;2015;True
165;A resource efficient big data analysis method for the social sciences: The case of global IP activity;2014;True
166;Verifiable outsourcing private key generation algorithm in an identity-based encryption scheme;2015;True
167;Translational Research 2.0: A framework for accelerating collaborative discovery;2014;True
168;Big data fusion for eHealth and Ambient Assisted Living Cloud Applications;2015;True
169;Big data storage system handling and analytic platform on technology;2015;True
170;A fast and high throughput SQL query system for big data;2012;True
171;Research and realization of improved native Bayes classification algorithm under big data environment;2015;True
172;Geospatial big data handling theory and methods: A review and research challenges;2016;True
173;Integration of mobile, big data, sensors, and social media: Impact on daily life and business;2014;True
174;Multidisciplinary teamwork and big data;2014;True
175;Conceptual cloud solution architecture and application scenarios of power consumption data based on load disaggregation;2016;True
176;From Giant Robots to Mobile Money Platforms: The Rise of ICT Services in Developing Countries;2015;True
177;A technology that comes highly recommended;2013;True
178;Topic detection based on group average hierarchical clustering;2013;True
179;Identification and correction of bad load data based on time series analysis;2014;True
180;Toward an efficient, highly scalable maximum clique solver for massive graphs;2015;True
181;Architecture of scalability file system for meteorological observation data storing;2015;True
182;A design improvement access control for secure contents management in big data environment;2015;True
183;BigDataDIRAC: Deploying distributed big data applications;2015;True
184;The value of field experiments;2015;True
185;Big data semantics in industry 4.0;2015;True
186;Safely Managing Data Variety in Big Data Software Development;2015;True
187;Preliminary review of medium-term prediction for the Lushan earthquake occurred on April 20, 2013;2013;True
188;SLOF: Identify density-based local outliers in big data;2016;True
189;Improving the predictability of business failure of supply chain finance clients by using external big dataset;2015;True
190;Data Analytics in China: Trends, Issues, and Challenges;2015;True
191;Data-driven approaches for emissions-minimized paths in urban areas;2016;True
192;Who owns our data?;2014;True
193;An extension collaborative innovation model in the context of big data;2015;True
194;Performance and energy efficiency of big data applications in cloud environments: A Hadoop case study;2015;True
195;Making web-scale semantic reasoning more service-oriented: The large knowledge collider;2013;True
196;Big Data Clinical Research: Validity, Ethics, and Regulation;2015;True
197;Sustaining computer's impact and adapting to change;2015;True
198;Optimized big data K-means clustering using MapReduce;2014;True
199;Grand challenge: Applying regulatory science and big data to improve medical device innovation;2013;True
200;Random forest method and application in stream big data systems;2015;True
201;Design of big data processing system architecture based on hadoop under the cloud computing;2014;True
202;Distributed Confidence-Weighted Classification on Big Data Platforms;2015;True
203;Embrace the Challenges: Software Engineering in a Big Data World;2015;True
204;A cloud service for end-user participation concerning the internet of things;2013;True
205;Communication theoretic data analytics;2015;True
206;Hadoop eco system for big data security and privacy;2015;True
207;Diagnosis of disease from clinical big data using neural network;2015;True
208;BGP design for the separation of the local big data traffic in data center;2015;True
209;Big data in accounting: An overview;2015;True
210;(Re)Designing data-centric data centers;2012;True
211;Analysis and comparison of NoSQL databases with an introduction to consistent references in Big Data storage systems;2014;True
212;PER-MARE: Adaptive deployment of MapReduce over pervasive grids;2013;True
213;TermWise: Leveraging big data for terminological support in legal translation;2014;True
214;Visualization of semantic data based on selected predicates;2014;True
215;Two-Aggregator network topology optimization with splitting;2016;True
216;Trends in Special Libraries: Observations Based on Conference Content;2015;True
217;A Preliminary Approach on Ontology-Based Visual Query Formulation for Big Data;2013;True
218;Developing health analytics design artifact for improved patient activation: An on-going case study;2015;True
219;A big data acquisition engine based on rule engine;2013;True
220;Big data issues in computational chemistry;2014;True
221;HDInsight4PSi: Boosting performance of 3D protein structure similarity searching with HDInsight clusters in Microsoft Azure cloud;2016;True
222;Applying data mining techniques to address critical process optimization needs in advanced manufacturing;2014;True
223;Failure sign monitoring system for large-scale plants applying System Invariant Analysis Technology (SIAT);2015;True
224;Challenges and best practices for enterprise adoption of Big Data technologies;2014;True
225;The challenges and countermeasures of government audit in the age of big data;2014;True
226;QoS-aware resource provisioning for big data processing in cloud computing environment;2014;True
227;An algorithm for solving the block bordered diagonal form of electrical power system in data center;2015;True
228;Evaluation on China's forestry resources efficiency based on big data;2015;True
229;Nonparametric Bayes modeling for case control studies with many predictors;2016;True
230;Simulated network effects on tactical operations on decision making;2015;True
231;Rethinking data management for big data scientific workflows;2013;True
232;A new analytics model for large scale multidimensional data visualization;2015;True
233;Imaging in StrokeNet: Realizing the Potential of Big Data;2015;True
234;Combining nearest neighbour classifiers based on small subsamples for big data analytics;2015;True
235;Large-scale data mining and distributed processing in big data internet;2014;True
236;ExNa: An efficient search pattern for semantic search engines;2016;True
237;A General Communication Cost Optimization Framework for Big Data Stream Processing in Geo-Distributed Data Centers;2016;True
238;RFID analytics for hospital ward management;2015;True
239;Effective methods and strategies for massive small files processing based on Hadoop;2014;True
240;Cloud Resource Orchestration Programming: Overview, Issues, and Directions;2015;True
241;Identifying the core competitive intelligence based on enterprise strategic factors;2015;True
242;Based on real-valued conditional restricted Boltzmann machine and social network for collaborative filtering;2016;True
243;Open Data and Big Data: A Perspective from Colombia;2014;True
244;Using big data analytics for user profile mining in heterogeneous data sources with user privacy preservation;2014;True
245;Intelligent human resources (HR) portalbased on knowledge engineering;2015;True
246;Scaling beyond one rack and sizing of hadoop platform;2015;True
247;Rethinking big data: A review on the data quality and usage issues;2016;True
248;Large scale multi-species palindrome study using distributed in-memory computing;2015;True
249;Knowledge engineering method implementationfor digital archives;2015;True
250;Privacy preserving clustering process with cost minimization for big data processing;2015;True
251;Out of the box: Information morality - reasonable doubt;2013;True
252;The design and implementation of big data analysis system based on ocean RS;2015;True
253;Resources for studying statistical analysis of biomedical data and R;2014;True
254;Kartographische darstellungen fur die visuelle verkehrsanalyse auf basis von floating car data (FCD) von taxis;2015;True
255;A systematic literature review - Dynamic design challenges in implementing big data;2015;True
256;Context-aware task allocation for fast parallel big data processing in optical-wireless networks;2014;True
257;Big spatial data mining;2013;True
258;Scalable big graph processing in MapReduce;2014;True
259;Effective ACPS-based rescheduling of parallel batch processing machines with mapReduce;2014;True
260;Diagnosing New York city's noises with ubiquitous data;2014;True
261;Social information landscapes: Automated mapping of large multimodal, longitudinal social networks;2015;True
262;An effective and economical architecture for semantic-based heterogeneous multimedia big data retrieval;2015;True
263;Operational application of the landsat timeseries to address large area landcover understanding;2015;True
264;Automated life card data management to a central database;2014;True
265;The latent state hazard model, with application to wind turbine reliability;2015;True
266;Plant sulfur and Big Data;2015;True
267;Productivity frameworks in big data image processing computations - Creating photographic mosaics with Hadoop and Scalding;2014;True
268;Challenges and solutions for marketing in a digital era;2014;True
269;Real time data analytics;2015;True
270;Big data from cellular networks: How to estimate energy demand at real-time;2015;True
271;Big data based clouds healthcare web service forecasting: Research challenge;2015;True
272;?Safe City? dynamic monitoring system: A big data research;2014;True
273;The study on the business development prospects analysis using big data;2016;True
274;Research experience of big data analytics: The tools for government - A case using social network in mining preferences of tourists;2014;True
275;Trawling in the Sea of the Great Unread: Sub-corpus topic modeling and Humanities research;2013;True
276;When big data meets big smog: A big spatio-temporal data framework for China severe smog analysis;2013;True
277;Quantifying socio-economic indicators in developing countries from mobile phone communication data: applications to Cote d?Ivoire;2015;True
278;Random projection towards the Baire metric for high dimensional clustering;2015;True
279;Digital domes: Theaters without borders;2015;True
280;Stream bench: Towards benchmarking modern distributed stream computing frameworks;2014;True
281;Real time intrusion detection system for ultra-high-speed big data environments;2016;True
282;A supervised adverse drug reaction signalling framework imitating Bradford Hill's causality considerations;2015;True
283;Towards cloud based big data analytics for smart future cities;2015;True
284;On the possibility of instance-based stroke recovery;2012;True
285;A communication-efficient distributed algorithm for large-scale classification within P2P networks;2015;True
286;Enhancing security and privacy protection for MapReduce processing: The initial simulation work flow;2015;True
287;The performance efficiency of the virtual hadoop using open big data;2015;True
288;Distributed big data search for analyst queries and data fusion;2015;True
289;Big data - Conceptual modeling to the rescue;2013;True
290;Efficient and secure Cloud storage for handling big data;2012;True
291;Extraction of the spatio-temporal activity of office-workers using laser-scanner trajectory data;2015;True
292;Achieving 100,000,000 database inserts per second using Accumulo and D4M;2014;True
293;A framework of service-oriented operation model of China's power system;2015;True
294;How smart cities will change supply chain management: A technical viewpoint;2016;True
295;Digital neighborhoods;2015;True
296;A Multi-dimensional Comparison of Toolkits for Machine Learning with Big Data;2015;True
297;Analyzing Internet traffic structure through big data technology;2013;True
298;Research on system development of smart city;2014;True
299;Research on classification and redundant information filtering of massive data in big database;2013;True
300;Model-Based Forecasting of Significant Societal Events;2015;True
301;De-word Chinese classification algorithm for high-correlation text information retrieval;2014;True
302;Formal verification problems in a big data world: Towards a mighty synergy;2014;True
303;Advances and Future Challenges in Electric Power Big Data;2015;True
304;News mining and fusion in web big data;2014;True
305;DataMPI: Extending MPI to hadoop-like big data computing;2014;True
306;Coordinated control of traffic flow in complex-arterial networks under the big data background;2014;True
307;Why Big Data industrial systems need rules and what we can do about it;2015;True
308;Optimizing apache nutch for domain specific crawling at large scale;2015;True
309;Boosting Open Innovation by Leveraging Big Data;2014;True
310;SmartLAK: A big data architecture for supporting learning analytics services;2015;True
311;Scalable Query Optimization for Efficient Data Processing Using MapReduce;2015;True
312;Las nuevas redacciones, el 'Big Data' y los medios sociales como fuentes de noticias;2015;True
313;Big data and cloud computing: Current state and future opportunities;2011;True
314;Smartphones habits, necessities, and big data challenges;2015;True
315;E-government interoperability: Linking open and smart government;2014;True
316;The process of analyzing data is the emergent feature of data science;2016;True
317;Analisis morfosintactico y clasificacion de entidades nombradas en un entorno Big Data;2014;True
318;A risk and benefits behavioral model to assess intentions to adopt big data;2013;True
319;An interdisciplinary opportunity for information systems research;2014;True
320;Realizing the Potential of Mobile Mental Health: New Methods for New Data in Psychiatry;2015;True
321;Big data architecture for construction waste analytics (CWA): A conceptual framework;2016;True
322;CBR meets big data: A case study of large-scale adaptation rule generation;2015;True
323;Mining DEOPS Records: Big Data's Insights into Dictatorship;2014;True
324;Gradient scan Gibbs sampler: An efficient high-dimensional sampler application in inverse problems;2015;True
325;Nationwide ground deformation monitoring by persistent scatterer interferometry;2015;True
326;Research on development stage of service model in big data industry;2015;True
327;Big data lifecycle: Threats and security model;2015;True
328;In-map/in-reduce: Concurrent job execution in MapReduce;2015;True
329;Canonic route splitting;2014;True
330;Biomedical text mining: State-of-the-art, open problems and future challenges;2014;True
331;An improved fine-grained encryption method for unstructured big data;2015;True
332;MRemu: An Emulation-Based Framework for Datacenter Network Experimentation Using Realistic MapReduce Traffic;2015;True
333;High-dimensional data;2016;True
334;An agent-based mathematical model about carp aggregation;2015;True
335;A model-driven prototype evaluation to elicit requirements for a sensemaking support tool;2012;True
336;Prospects, challenges and latest developments in designing a scalable big data stream computing system;2015;True
337;Dynamic Virtual Chunks: On Supporting Efficient Accesses to Compressed Scientific Data;2016;True
338;Big Data in Land Records Management in Kenya: A Fit and Viability Analysis;2014;True
339;Reality mining in the classroom;2015;True
340;Big data generation: Application of mobile healthcare;2014;True
341;The Use of Latent Semantic Analysis in Operations Management Research;2014;True
342;OpenKN: An open knowledge computational engine for network big data;2014;True
343;A cost and contention conscious scheduling for recovery in cloud environment;2015;True
344;Understanding Trust and Privacy of Big Data in Social Networks - A Brief Review;2015;True
345;Automating the Hadoop configuration for easy setup in resilient cloud systems;2014;True
346;Running Hadoop applications in virtualization environment;2012;True
347;Legal aspects of managing Big Data;2014;True
348;A hybrid approach for scalable sub-tree anonymization over big data using MapReduce on cloud;2014;True
349;A proposal for design and implementation of an hybrid navigation system based on open data, augmented reality and big data applications for the smart cities;2015;True
350;Big Data [Guest editors' introduction];2014;True
351;Predictive ecology in a changing world;2015;True
352;Impacts of air pollution and its spatial spillover effect on public health based on China's big data sample;2015;True
353;A Smart Physical World Based on Service Technologies, Big Data, and Game-Based Crowd Sourcing;2015;True
354;South Africa debuts world-class Science Forum;2016;True
355;From big data to big projects: A step-by-step roadmap;2014;True
356;A requirements specification framework for big data collection and capture;2015;True
357;Design and implementation of task scheduling strategies for massive remote sensing data processing across multiple data centers;2014;True
358;Workload characterization for MG-RAST metagenomic data analytics service in the cloud;2015;True
359;IK-SVD: Dictionary learning for spatial big data via incremental atom update;2014;True
360;A high-throughput investigation of Fe-Cr-Al as a novel high-temperature coating for nuclear cladding materials;2015;True
361;How data partitioning strategies and subset size influence the performance of an ensemble?;2013;True
362;Networking research activities at fermilab for big data analysis;2012;True
363;Mining frequent itemsets in real time;2016;True
364;Big data's risks and opportunities for ICT agriculture;2013;True
365;Mining Large Scale Tandem Mass Spectrometry Data for Protein Modifications Using Spectral Libraries;2016;True
366;Aggregation Encoding: Reducing Network Traffic for Big Data Erasure-Coded Storages;2015;True
367;A novel approach for analyzing the social network;2015;True
368;Introducing data connectivity in a big data web;2014;True
369;Cognitive engineering analysis training: Teaching analysts to use expert knowledge structures as a tool to understanding;2014;True
370;Leveraging for big data regression;2015;True
371;A domain-driven, generative data model for big pet store;2015;True
372;Progress in visual representations of chemical space;2015;True
373;A selection method of database system in bigdata environment: A case study from smart education service in Korea;2015;True
374;Study on game theory strategy of groundwater pollution control in big data;2015;True
375;A k-anonymity method based on search engine query statistics for disaster impact statements;2014;True
376;Music interaction research in HCI: Let's get the band back together;2012;True
377;Interactive dynamical visualization of big data arrays in grid;2015;True
378;Big data in electricity-visualization aspect;2015;True
379;Civic Hackathons: Innovation, procurement, or civic engagement?;2014;True
380;Design and implementation of network user behaviors analysis based on Hadoop for big data;2014;True
381;Large-scale automated proactive road safety analysis using video data;2015;True
382;How to find your appropriate doctor: An integrated recommendation framework in big data context;2015;True
383;Compressing sampling for time series big data;2015;True
384;Hybrid BFS approach using semi-external memory;2014;True
385;STEMscopes: Contextualizing learning analytics in a K-12 science curriculum;2013;True
386;Geovisual analytics approach to exploring public political discourse on twitter;2015;True
387;Distributed frank-wolfe under pipelined stale synchronous parallelism;2015;True
388;Big data-driven optimization for mobile networks toward 5G;2016;True
389;Meta-learning for large scale machine learning with MapReduce;2013;True
390;Revisiting Evolutionary Fuzzy Systems: Taxonomy, applications, new trends and challenges;2015;True
391;Future manufacturing industry with cloud manufacturing;2014;True
392;Industrial internet of things-based collaborative sensing intelligence: Framework and research challenges;2016;True
393;Deployment Model of Big Data for Port Logistics;2015;True
394;Introducing new protocol and algorithm for vaccination awareness in babies life cycle;2014;True
395;Engaging in island life: Big data, micro data, domestic analytics and smart islands;2013;True
396;Knowledge, Skills, and Abilities for Entry-Level Business Analytics Positions: A Multi-Method Study;2016;True
397;Review on the development and strategies of CNC technology;2015;True
398;Design of system configuration for floating car traffic information provision service on cloud computing environments;2014;True
399;Advertisement posting based on consumer behavior;2015;True
400;OAMS: A highly reliable metadata service for big data storage;2013;True
401;Energy-efficient big data storage and retrieval for wireless sensor networks with nonuniform node distribution;2015;True
402;DiabeticLink: A health big data system for patient empowerment and personalized healthcare;2013;True
403;The iStorage HS series features the superior data compression and high-speed transmission capabilities that are essential functions of big data storage;2015;True
404;Toward a data desktop grid computing based on BonjourGrid meta-middleware;2013;True
405;Multi-disciplinary ontological geo-analytical incident modeling;2015;True
406;A study of the commercial application of big data of the international hotel group in China: Based on the case study of Marriott international;2015;True
407;Engineering privacy for big data apps with the unified modeling language;2013;True
408;XQuery processing over NoSQL stores;2013;True
409;Scheduling of Big Data application workflows in cloud and inter-cloud environments;2015;True
410;Big data analytics for network congestion management using flow-based analysis;2016;True
411;Industrie 4.0: Enabling technologies;2015;True
412;An efficient traffic-aware partition and aggregation for big data applications using Map-Reduce;2016;True
413;Predicting Hotel Demand Using Destination Marketing Organization's Web Traffic Data;2014;True
414;Health Twitter Big Bata Management with Hadoop Framework;2015;True
415;Using big data strategy for the development of the communication industry;2014;True
416;Systems patientomics: The virtual in-silico patient;2014;True
417;HCS: expanding H-Code RAID 6 without recalculating parity blocks in big data circumstance;2015;True
418;Elephant, do not forget everything! efficient processing of growing datasets;2013;True
419;Morgan Freeman is dead and other big data stories;2015;True
420;Semantic heterogeneity reduction for big data in industrial automation;2014;True
421;The Feed Analyzer: Implementation and evaluation;2014;True
422;The human and ethical aspects of big data;2014;True
423;StarWatch: Radio Astronomical Monitoring in Virtual Environment;2016;True
424;From data quality to big data quality;2015;True
425;Enhancing collaboration in big biomedical data settings knowledge visualization, data mining and decision making issues;2013;True
426;XQuery Data Mining Tool for Campus Security;2015;True
427;'Sustainable assemblage for energy (SAE)' inside intelligent urban areas: How massive heterogeneous data could help to reduce energy footprints and promote sustainable practices and an ecological transition;2015;True
428;SQL-like big data environments: Case study in clinical trial analytics;2015;True
429;A study of privacy protection from risk of hijacking data;2013;True
430;Analysis of next-generation sequencing data using galaxy;2014;True
431;Seven V's of Big Data understanding Big Data to extract value;2014;True
432;Affective experience modeling based on interactive synergetic dependence in big data;2014;True
433;Collaborative simulation and scientific big data analysis: Illustration for sustainability in natural hazards management and chemical process engineering;2014;True
434;Designing of a network-aware cloud robotic sensor observation framework;2014;True
435;A recommender system for the optimal combination of energy resources with cost-benefit analysis;2015;True
436;Healthcare intelligence: Turning data into knowledge;2014;True
437;The compadre Plant Matrix Database: An open online repository for plant demography;2015;True
438;Storage optimization for big data;2013;True
439;Research on cloud computing and its application in big data processing of distance higher education;2015;True
440;Big Data, Internet of Things and Cloud Convergence ? An Architecture for Secure E-Health Applications;2015;True
441;Data replication approach with consistency guarantee for data grid;2014;True
442;Live data migration approach from relational tables to schema-free collections with MapReduce;2015;True
443;Cloud service platform for big data of manufacturing;2014;True
444;Simulation optimization: A review and exploration in the new era of cloud computing and big data;2015;True
