;PUBYEAR;CLASSIFICATION;DOI;ARTICLE_TITLE;AUTHOR_CNT;REF_CNT;COUNTRY_CNT;INST_CNT;CIT_CNT;KEYWORD
24;2015;Environmental Sciences;10.1890/140130;Collaboration, interdisciplinary thinking, and communication: new approaches to K-12 ecology education;6.0;40.0;1.0;3.0;1.0;big data
25;2010;Biodiversity Conservation;;Birding 2.0: Citizen Science and Effective Monitoring in the Web 2.0 World;1.0;41.0;1.0;1.0;7.0;big data
26;2010;Ornithology;;Birding 2.0: Citizen Science and Effective Monitoring in the Web 2.0 World;1.0;41.0;1.0;1.0;7.0;big data
27;2014;Communication;10.1080/1369118X.2014.889188;Ethical dilemmas in researching sensitive issues online: lessons from the study of British disability dissent networks;2.0;64.0;1.0;2.0;0.0;big data
28;2014;Sociology;10.1080/1369118X.2014.889188;Ethical dilemmas in researching sensitive issues online: lessons from the study of British disability dissent networks;2.0;64.0;1.0;2.0;0.0;big data
29;2014;Pharmacology & Pharmacy;10.1111/bph.12580;Lost in Translation ( LiT);1.0;137.0;1.0;1.0;1.0;big data
30;2015;Computer Science, Theory & Methods;10.1016/j.fss.2014.08.014;A fuzzy rough set approach for incremental feature selection on hybrid information systems;5.0;58.0;1.0;2.0;0.0;big data
31;2015;Mathematics, Applied;10.1016/j.fss.2014.08.014;A fuzzy rough set approach for incremental feature selection on hybrid information systems;5.0;58.0;1.0;2.0;0.0;big data
32;2015;Statistics & Probability;10.1016/j.fss.2014.08.014;A fuzzy rough set approach for incremental feature selection on hybrid information systems;5.0;58.0;1.0;2.0;0.0;big data
33;2014;Neuroimaging;10.1007/s11682-013-9248-x;The perfect neuroimaging-genetics-computation storm: collision of petabytes of data, millions of hardware devices and thousands of software tools;18.0;132.0;2.0;8.0;2.0;big data
34;2014;Anesthesiology;10.1213/ANE.0000000000000485;Operational Realities in the Postanesthesia Care Unit: Staffing and Monitoring for Safe Postoperative Care;2.0;22.0;2.0;1.0;0.0;big data
35;2015;Infectious Diseases;10.1016/j.jhin.2015.01.005;Role of data warehousing in healthcare epidemiology;2.0;29.0;1.0;2.0;1.0;big data
36;2014;Chemistry, Applied;10.1007/s11030-014-9545-3;LBVS: an online platform for ligand-based virtual screening using publicly accessible databases;6.0;50.0;1.0;1.0;0.0;big data
37;2014;Chemistry, Medicinal;10.1007/s11030-014-9545-3;LBVS: an online platform for ligand-based virtual screening using publicly accessible databases;6.0;50.0;1.0;1.0;0.0;big data
38;2014;Chemistry, Multidisciplinary;10.1007/s11030-014-9545-3;LBVS: an online platform for ligand-based virtual screening using publicly accessible databases;6.0;50.0;1.0;1.0;0.0;big data
39;2014;Engineering, Civil;10.3141/2410-14;Predictive Analytics to Improve Pricing and Sourcing in Third-Party Logistics Operations;8.0;28.0;1.0;2.0;0.0;big data
40;2014;Transportation Science & Technology;10.3141/2410-14;Predictive Analytics to Improve Pricing and Sourcing in Third-Party Logistics Operations;8.0;28.0;1.0;2.0;0.0;big data
41;2014;Biotechnology & Applied Microbiology;10.1155/2014/891725;The Definition of a Prolonged Intensive Care Unit Stay for Spontaneous Intracerebral Hemorrhage Patients: An Application with National Health Insurance Research Database;3.0;54.0;1.0;3.0;0.0;big data
42;2014;Medicine, Research & Experimental;10.1155/2014/891725;The Definition of a Prolonged Intensive Care Unit Stay for Spontaneous Intracerebral Hemorrhage Patients: An Application with National Health Insurance Research Database;3.0;54.0;1.0;3.0;0.0;big data
43;2015;Automation & Control Systems;10.1016/j.chemolab.2015.01.001;Fast optimization of hyperparameters for support vector regression models with highly predictive ability;2.0;19.0;1.0;1.0;0.0;big data
44;2015;Chemistry, Analytical;10.1016/j.chemolab.2015.01.001;Fast optimization of hyperparameters for support vector regression models with highly predictive ability;2.0;19.0;1.0;1.0;0.0;big data
45;2015;Computer Science, Artificial Intelligence;10.1016/j.chemolab.2015.01.001;Fast optimization of hyperparameters for support vector regression models with highly predictive ability;2.0;19.0;1.0;1.0;0.0;big data
46;2015;Instruments & Instrumentation;10.1016/j.chemolab.2015.01.001;Fast optimization of hyperparameters for support vector regression models with highly predictive ability;2.0;19.0;1.0;1.0;0.0;big data
47;2015;Mathematics, Interdisciplinary Applications;10.1016/j.chemolab.2015.01.001;Fast optimization of hyperparameters for support vector regression models with highly predictive ability;2.0;19.0;1.0;1.0;0.0;big data
48;2015;Statistics & Probability;10.1016/j.chemolab.2015.01.001;Fast optimization of hyperparameters for support vector regression models with highly predictive ability;2.0;19.0;1.0;1.0;0.0;big data
49;2014;Information Science & Library Science;10.1080/01972243.2014.915276;Using APIs for Data Collection on Social Media;2.0;54.0;1.0;2.0;0.0;big data
50;2014;Management;10.1111/jbl.12057;From Supply Chains to Supply Ecosystems: Implications for Strategic Sourcing Research and Practice;3.0;45.0;1.0;3.0;0.0;big data
51;2014;Biotechnology & Applied Microbiology;10.1186/1471-2164-15-265;VCGDB: a dynamic genome database of the Chinese population;8.0;48.0;1.0;2.0;0.0;big data
52;2014;Genetics & Heredity;10.1186/1471-2164-15-265;VCGDB: a dynamic genome database of the Chinese population;8.0;48.0;1.0;2.0;0.0;big data
53;2014;Multidisciplinary Sciences;10.1371/journal.pone.0061567;Learning to Rank Figures within a Biomedical Article;2.0;47.0;1.0;3.0;0.0;big data
54;2014;Management;10.1111/jbl.12045;Click Here to Print a Maker Movement Supply Chain: How Invention and Entrepreneurship Will Disrupt Supply Chain Design;2.0;4.0;1.0;2.0;3.0;big data
55;2014;Biochemistry & Molecular Biology;;Protein Systems Biology: Method, Regulation, and Networks;2.0;6.0;1.0;2.0;0.0;big data
56;2013;Biochemical Research Methods;10.1093/bioinformatics/btt284;AuthorReward: increasing community curation in biological knowledge wikis through automated authorship quantification;7.0;10.0;2.0;3.0;2.0;big data
57;2013;Biotechnology & Applied Microbiology;10.1093/bioinformatics/btt284;AuthorReward: increasing community curation in biological knowledge wikis through automated authorship quantification;7.0;10.0;2.0;3.0;2.0;big data
58;2013;Mathematical & Computational Biology;10.1093/bioinformatics/btt284;AuthorReward: increasing community curation in biological knowledge wikis through automated authorship quantification;7.0;10.0;2.0;3.0;2.0;big data
59;2014;Allergy;10.1097/ACI.0000000000000065;Seeking data and the implicit order that grounds a chaotic world;1.0;39.0;1.0;2.0;0.0;big data
60;2014;Immunology;10.1097/ACI.0000000000000065;Seeking data and the implicit order that grounds a chaotic world;1.0;39.0;1.0;2.0;0.0;big data
61;2015;Information Science & Library Science;10.3145/epi.2015.ene.01;What does user focus mean? Marketing strategy and tactics;1.0;19.0;1.0;1.0;0.0;big data
62;2015;Computer Science, Theory & Methods;10.1016/j.future.2014.08.010;A cloud based health insurance plan recommendation system: A user centered approach;4.0;47.0;2.0;2.0;0.0;big data
63;2012;Operations Research & Management Science;10.1007/s11518-012-5194-1;The next industrial revolution: Integrated services and goods;1.0;40.0;1.0;1.0;2.0;big data
64;2013;Multidisciplinary Sciences;10.1371/journal.pone.0056961;Community Intelligence in Knowledge Curation: An Application to Managing Scientific Nomenclature;13.0;40.0;1.0;3.0;1.0;big data
65;2014;Biochemistry & Molecular Biology;10.1093/nar/gkt926;RiceWiki: a wiki-based database for community curation of rice genes;19.0;52.0;1.0;4.0;1.0;big data
66;2013;Integrative & Complementary Medicine;10.1155/2013/128030;Adaption and Application of the Four Phase Trials to Traditional Chinese Medicines;2.0;54.0;1.0;1.0;0.0;big data
67;2014;Pharmacology & Pharmacy;10.2217/pme.14.8;Translational informatics in personalized medicine: an update for 2014;2.0;80.0;1.0;4.0;0.0;big data
68;2014;Computer Science, Hardware & Architecture;10.1145/2602326;Beyond Data and Analysis;1.0;10.0;1.0;1.0;0.0;big data
69;2014;Computer Science, Software Engineering;10.1145/2602326;Beyond Data and Analysis;1.0;10.0;1.0;1.0;0.0;big data
70;2014;Computer Science, Theory & Methods;10.1145/2602326;Beyond Data and Analysis;1.0;10.0;1.0;1.0;0.0;big data
71;2014;Chemistry, Medicinal;10.1002/ddr.21211;Opportunities and Challenges Provided by Cloud Repositories for Bioinformatics-Enabled Drug Discovery;2.0;65.0;1.0;1.0;2.0;big data
72;2014;Pharmacology & Pharmacy;10.1002/ddr.21211;Opportunities and Challenges Provided by Cloud Repositories for Bioinformatics-Enabled Drug Discovery;2.0;65.0;1.0;1.0;2.0;big data
73;2014;Pharmacology & Pharmacy;10.1517/17460441.2014.872623;The future of crystallography in drug discovery;5.0;77.0;1.0;6.0;1.0;big data
74;2014;Psychiatry;10.1007/s11920-014-0494-4;Privacy in the Digital World: Medical and Health Data Outside of HIPAA Protections;2.0;127.0;1.0;2.0;1.0;big data
75;2015;Pharmacology & Pharmacy;;Using administrative data for your research project: 10 considerations before you begin;3.0;13.0;1.0;1.0;0.0;big data
76;2013;Sport Sciences;10.1007/s40279-013-0104-3;Prevention and Management of Non-Communicable Disease: The IOC Consensus Statement, Lausanne 2013;22.0;110.0;10.0;19.0;4.0;big data
77;2015;Computer Science, Information Systems;10.1016/j.ins.2015.01.007;Distributed learning for Random Vector Functional-Link networks;4.0;43.0;2.0;2.0;0.0;big data
78;2009;Ecology;10.1007/s00248-008-9465-9;Next-Generation Sequencing-the Promise and Perils of Charting the Great Microbial Unknown;4.0;17.0;1.0;1.0;12.0;big data
79;2009;Marine & Freshwater Biology;10.1007/s00248-008-9465-9;Next-Generation Sequencing-the Promise and Perils of Charting the Great Microbial Unknown;4.0;17.0;1.0;1.0;12.0;big data
80;2009;Microbiology;10.1007/s00248-008-9465-9;Next-Generation Sequencing-the Promise and Perils of Charting the Great Microbial Unknown;4.0;17.0;1.0;1.0;12.0;big data
81;2015;Economics;10.1093/cjres/rsu026;The 'actually existing smart city';3.0;69.0;1.0;3.0;1.0;big data
82;2015;Geography;10.1093/cjres/rsu026;The 'actually existing smart city';3.0;69.0;1.0;3.0;1.0;big data
83;2014;Engineering, Electrical & Electronic;10.1109/JPROC.2014.2363674;Design of Randomized Experiments in Networks;2.0;85.0;2.0;2.0;0.0;big data
84;2014;Plant Sciences;;Biocuration and biodiversity: process, successes, failures, solutions and perspectives;3.0;30.0;1.0;2.0;0.0;big data
85;2014;Health Care Sciences & Services;10.1186/1471-2288-14-99;Detection of independent associations in a large epidemiologic dataset: a comparison of random forests, boosted regression trees, conventional and penalized logistic regression for identifying independent factors associated with H1N1pdm influenza infections;2.0;45.0;1.0;3.0;0.0;big data
86;2011;Physics, Multidisciplinary;10.1140/epjst/e2011-01401-8;From social data mining to forecasting socio-economic crises;2.0;151.0;2.0;2.0;16.0;big data
87;2014;Cardiac & Cardiovascular System;10.1002/clc.22302;Rationale and Design of the Henry Ford ExercIse Testing Project (The FIT Project);5.0;30.0;2.0;4.0;4.0;big data
88;2011;Anesthesiology;10.1097/ACO.0b013e32834c15b6;The anesthesia team of the future;3.0;26.0;1.0;1.0;3.0;big data
89;2014;Mathematical & Computational Biology;10.1093/database/bau022;A framework for organizing cancer-related variations from existing databases, publications and NGS data using a High-performance Integrated Virtual Environment (HIVE);7.0;55.0;1.0;3.0;4.0;big data
90;2014;Computer Science, Information Systems;10.1007/s12599-014-0345-1;An Interdisciplinary Opportunity for Information Systems Research;7.0;42.0;1.0;3.0;0.0;big data
91;2015;Biochemistry & Molecular Biology;10.1038/ejhg.2014.71;Dynamic consent: a patient interface for twenty-first century research networks;6.0;37.0;1.0;3.0;5.0;big data
92;2015;Genetics & Heredity;10.1038/ejhg.2014.71;Dynamic consent: a patient interface for twenty-first century research networks;6.0;37.0;1.0;3.0;5.0;big data
93;2015;Oncology;10.1186/s12885-014-1002-2;Computational cancer biology: education is a natural key to many locks;3.0;27.0;1.0;1.0;0.0;big data
94;2013;Biodiversity Conservation;10.1080/14772000.2013.818588;eScience and the need for data standards in the life sciences: in pursuit of objectivity rather than truth;1.0;45.0;1.0;1.0;0.0;big data
95;2015;Information Science & Library Science;10.1016/j.lisr.2014.08.003;Genomics data curation roles, skills and perception of data quality;3.0;54.0;1.0;2.0;0.0;big data
96;2014;Chemistry, Medicinal;10.1021/ci400716y;ANN Multiscale Model of Anti-HIV Drugs Activity vs AIDS Prevalence in the US at County Level Based on Information Indices of Molecular Graphs and Social Networks;6.0;85.0;1.0;4.0;4.0;big data
97;2014;Chemistry, Multidisciplinary;10.1021/ci400716y;ANN Multiscale Model of Anti-HIV Drugs Activity vs AIDS Prevalence in the US at County Level Based on Information Indices of Molecular Graphs and Social Networks;6.0;85.0;1.0;4.0;4.0;big data
98;2014;Computer Science, Information Systems;10.1021/ci400716y;ANN Multiscale Model of Anti-HIV Drugs Activity vs AIDS Prevalence in the US at County Level Based on Information Indices of Molecular Graphs and Social Networks;6.0;85.0;1.0;4.0;4.0;big data
99;2014;Computer Science, Interdisciplinary Applications;10.1021/ci400716y;ANN Multiscale Model of Anti-HIV Drugs Activity vs AIDS Prevalence in the US at County Level Based on Information Indices of Molecular Graphs and Social Networks;6.0;85.0;1.0;4.0;4.0;big data
100;2012;Computer Science, Information Systems;10.1136/amiajnl-2012-000969;The coming age of data-driven medicine: translational bioinformatics' next frontier;2.0;49.0;1.0;2.0;10.0;big data
101;2012;Computer Science, Interdisciplinary Applications;10.1136/amiajnl-2012-000969;The coming age of data-driven medicine: translational bioinformatics' next frontier;2.0;49.0;1.0;2.0;10.0;big data
102;2012;Health Care Sciences & Services;10.1136/amiajnl-2012-000969;The coming age of data-driven medicine: translational bioinformatics' next frontier;2.0;49.0;1.0;2.0;10.0;big data
103;2012;Information Science & Library Science;10.1136/amiajnl-2012-000969;The coming age of data-driven medicine: translational bioinformatics' next frontier;2.0;49.0;1.0;2.0;10.0;big data
104;2012;Medical Informatics;10.1136/amiajnl-2012-000969;The coming age of data-driven medicine: translational bioinformatics' next frontier;2.0;49.0;1.0;2.0;10.0;big data
105;2015;Business;10.1016/j.techfore.2014.03.003;Development of data-driven technology roadmap considering dependency: An ARM-based technology roadmapping;4.0;27.0;1.0;3.0;0.0;big data
106;2015;Planning & Development;10.1016/j.techfore.2014.03.003;Development of data-driven technology roadmap considering dependency: An ARM-based technology roadmapping;4.0;27.0;1.0;3.0;0.0;big data
107;2014;Physics, Applied;10.1063/1.4869262;Novel implementation of memristive systems for data encryption and obfuscation;11.0;34.0;4.0;7.0;1.0;big data
108;2014;Computer Science, Information Systems;10.1057/jit.2014.16;A critical analysis of decision support systems research revisited: the rise of design science;2.0;81.0;1.0;2.0;0.0;big data
109;2014;Information Science & Library Science;10.1057/jit.2014.16;A critical analysis of decision support systems research revisited: the rise of design science;2.0;81.0;1.0;2.0;0.0;big data
110;2014;Management;10.1057/jit.2014.16;A critical analysis of decision support systems research revisited: the rise of design science;2.0;81.0;1.0;2.0;0.0;big data
111;2015;Multidisciplinary Sciences;10.1126/science.aaa1465;Privacy and human behavior in the age of information;3.0;94.0;1.0;1.0;0.0;big data
112;2015;Multidisciplinary Sciences;10.1007/s11434-014-0698-3;A Connectome Computation System for discovery science of brain;5.0;95.0;1.0;3.0;1.0;big data
113;2012;Biochemical Research Methods;10.1016/j.copbio.2011.12.007;New and emerging analytical techniques for marine biotechnology;1.0;55.0;1.0;1.0;11.0;big data
114;2012;Biotechnology & Applied Microbiology;10.1016/j.copbio.2011.12.007;New and emerging analytical techniques for marine biotechnology;1.0;55.0;1.0;1.0;11.0;big data
115;2014;Critical Care Medicine;10.1097/PCC.0000000000000176;Toward Unreasonable Effectiveness of Cardiac ICU Data: Artificial Intelligence in Pediatric Cardiac Intensive Care;2.0;16.0;1.0;1.0;0.0;big data
116;2014;Pediatrics;10.1097/PCC.0000000000000176;Toward Unreasonable Effectiveness of Cardiac ICU Data: Artificial Intelligence in Pediatric Cardiac Intensive Care;2.0;16.0;1.0;1.0;0.0;big data
117;2014;Health Care Sciences & Services;10.1007/s10916-014-0045-x;A Review of Analytics and Clinical Informatics in Health Care;4.0;57.0;1.0;2.0;2.0;big data
118;2014;Medical Informatics;10.1007/s10916-014-0045-x;A Review of Analytics and Clinical Informatics in Health Care;4.0;57.0;1.0;2.0;2.0;big data
119;2013;Orthopedics;10.1097/JSM.0000000000000038;Prevention and Management of Noncommunicable Disease: The IOC Consensus Statement, Lausanne 2013;22.0;110.0;9.0;18.0;1.0;big data
120;2013;Physiology;10.1097/JSM.0000000000000038;Prevention and Management of Noncommunicable Disease: The IOC Consensus Statement, Lausanne 2013;22.0;110.0;9.0;18.0;1.0;big data
121;2013;Sport Sciences;10.1097/JSM.0000000000000038;Prevention and Management of Noncommunicable Disease: The IOC Consensus Statement, Lausanne 2013;22.0;110.0;9.0;18.0;1.0;big data
122;2014;Law;;Digital Market Manipulation;1.0;283.0;1.0;2.0;2.0;big data
123;2014;Health Care Sciences & Services;10.1007/s10916-014-0121-2;QoS-Aware Health Monitoring System Using Cloud-Based WBANs;4.0;48.0;3.0;4.0;1.0;big data
124;2014;Medical Informatics;10.1007/s10916-014-0121-2;QoS-Aware Health Monitoring System Using Cloud-Based WBANs;4.0;48.0;3.0;4.0;1.0;big data
125;2013;Multidisciplinary Sciences;10.1371/journal.pone.0077090;A DNA-Based Semantic Fusion Model for Remote Sensing Data;4.0;55.0;1.0;1.0;0.0;big data
126;2014;Political Science;10.1111/ropr.12081;Government Information Policy in the Era of Big Data;1.0;24.0;1.0;1.0;0.0;big data
127;2014;Public Administration;10.1111/ropr.12081;Government Information Policy in the Era of Big Data;1.0;24.0;1.0;1.0;0.0;big data
128;2014;Ethics;10.1080/09515089.2013.827961;E-Science and the data deluge;2.0;34.0;1.0;2.0;0.0;big data
129;2014;Psychology, Multidisciplinary;10.1080/09515089.2013.827961;E-Science and the data deluge;2.0;34.0;1.0;2.0;0.0;big data
130;2014;Computer Science, Theory & Methods;10.1016/j.parco.2014.07.003;MPI for Big Data: New tricks for an old dog;2.0;24.0;1.0;1.0;0.0;big data
131;2014;Management;10.1111/jbl.12058;Supply Chain Game Changers-Mega, Nano, and Virtual Trends-And Forces That Impede Supply Chain Design (i.e., Building a Winning Team);2.0;64.0;1.0;2.0;3.0;big data
132;2014;Computer Science, Theory & Methods;10.1016/j.future.2013.07.014;Intelligent services for Big Data science;2.0;23.0;2.0;2.0;3.0;big data
133;2014;Computer Science, Artificial Intelligence;10.1016/j.neunet.2014.05.008;Modeling virtual organizations with Latent Dirichlet Allocation: A case for natural language processing;2.0;38.0;2.0;2.0;0.0;big data
134;2014;Neurosciences;10.1016/j.neunet.2014.05.008;Modeling virtual organizations with Latent Dirichlet Allocation: A case for natural language processing;2.0;38.0;2.0;2.0;0.0;big data
135;2015;Computer Science, Artificial Intelligence;10.1016/j.patcog.2014.04.012;"Pattern Recognition in Latin America in the ""Big Data"" Era";5.0;161.0;1.0;2.0;0.0;big data
136;2015;Engineering, Electrical & Electronic;10.1016/j.patcog.2014.04.012;"Pattern Recognition in Latin America in the ""Big Data"" Era";5.0;161.0;1.0;2.0;0.0;big data
137;2014;Computer Science, Artificial Intelligence;10.1109/MIS.2014.28;Social Intelligence and Technology;3.0;21.0;2.0;3.0;1.0;big data
138;2014;Engineering, Electrical & Electronic;10.1109/MIS.2014.28;Social Intelligence and Technology;3.0;21.0;2.0;3.0;1.0;big data
139;2014;Computer Science, Artificial Intelligence;10.3233/AO-140135;Semantic Web and Big Data meets Applied Ontology The Ontology Summit 2014;22.0;2.0;6.0;23.0;0.0;big data
140;2014;Computer Science, Information Systems;10.3233/AO-140135;Semantic Web and Big Data meets Applied Ontology The Ontology Summit 2014;22.0;2.0;6.0;23.0;0.0;big data
141;2014;Computer Science, Theory & Methods;10.3233/AO-140135;Semantic Web and Big Data meets Applied Ontology The Ontology Summit 2014;22.0;2.0;6.0;23.0;0.0;big data
142;2015;Computer Science, Artificial Intelligence;10.1142/S0219622014500266;An Extension Collaborative Innovation Model in the Context of Big Data;4.0;34.0;2.0;4.0;0.0;big data
143;2015;Computer Science, Information Systems;10.1142/S0219622014500266;An Extension Collaborative Innovation Model in the Context of Big Data;4.0;34.0;2.0;4.0;0.0;big data
144;2015;Computer Science, Interdisciplinary Applications;10.1142/S0219622014500266;An Extension Collaborative Innovation Model in the Context of Big Data;4.0;34.0;2.0;4.0;0.0;big data
145;2015;Operations Research & Management Science;10.1142/S0219622014500266;An Extension Collaborative Innovation Model in the Context of Big Data;4.0;34.0;2.0;4.0;0.0;big data
146;2013;Biology;10.1111/biom.12078;Multiple Self-Controlled Case Series for Large-Scale Longitudinal Observational Databases;6.0;29.0;2.0;4.0;0.0;big data
147;2013;Mathematical & Computational Biology;10.1111/biom.12078;Multiple Self-Controlled Case Series for Large-Scale Longitudinal Observational Databases;6.0;29.0;2.0;4.0;0.0;big data
148;2013;Statistics & Probability;10.1111/biom.12078;Multiple Self-Controlled Case Series for Large-Scale Longitudinal Observational Databases;6.0;29.0;2.0;4.0;0.0;big data
149;2014;Biochemical Research Methods;10.1021/pr4011662;OMICS Studies: How about Metadata Checklist and Data Publications?;2.0;15.0;1.0;1.0;1.0;big data
150;2012;Communication;10.1080/1369118X.2012.678878;CRITICAL QUESTIONS FOR BIG DATA Provocations for a cultural, technological, and scholarly phenomenon;2.0;56.0;1.0;1.0;50.0;big data
151;2012;Sociology;10.1080/1369118X.2012.678878;CRITICAL QUESTIONS FOR BIG DATA Provocations for a cultural, technological, and scholarly phenomenon;2.0;56.0;1.0;1.0;50.0;big data
152;2014;Law;10.1016/j.clsr.2014.09.004;"The future of consumer data protection in the EU Re-thinking the ""notice and consent"" paradigm in the new era of predictive analytics";1.0;193.0;1.0;1.0;0.0;big data
153;2014;Materials Science, Characterization, Testing;10.1007/s10921-014-0255-7;A Framework of Data-Enabled Science for Evaluation of Material Damage Based on Acoustic Emission;2.0;91.0;2.0;2.0;0.0;big data
154;2014;Physics, Multidisciplinary;10.1088/0034-4885/77/6/065902;How to deal with petabytes of data: the LHC Grid project;2.0;48.0;1.0;2.0;0.0;big data
155;2012;Engineering, Multidisciplinary;;Distributed Storage System Big Data Mining Based on HPC Application-A Solar Photovoltaic Forecasting System Practice;5.0;10.0;1.0;3.0;0.0;big data
156;2015;Automation & Control Systems;10.5755/j01.itc.44.1.5772;Performance and Energy Optimization of the Terasort Algorithm by Task Self-Resizing;5.0;21.0;2.0;2.0;0.0;big data
157;2015;Computer Science, Artificial Intelligence;10.5755/j01.itc.44.1.5772;Performance and Energy Optimization of the Terasort Algorithm by Task Self-Resizing;5.0;21.0;2.0;2.0;0.0;big data
158;2015;Computer Science, Information Systems;10.5755/j01.itc.44.1.5772;Performance and Energy Optimization of the Terasort Algorithm by Task Self-Resizing;5.0;21.0;2.0;2.0;0.0;big data
159;2014;Political Science;10.1111/ropr.12077;From Big Data to Knowledge: An Ontological Approach to Big Data Analytics;1.0;15.0;1.0;1.0;0.0;big data
160;2014;Public Administration;10.1111/ropr.12077;From Big Data to Knowledge: An Ontological Approach to Big Data Analytics;1.0;15.0;1.0;1.0;0.0;big data
161;2015;Sociology;10.1080/13511610.2014.985193;Developing ethical approaches to data and civil society: from availability to accessibility;2.0;48.0;1.0;1.0;0.0;big data
162;2014;Geography;10.1177/0309132513479291;Crossing the qualitative-quantitative chasm III: Enduring methods, open geography, participatory research, and the fourth paradigm;2.0;96.0;1.0;2.0;3.0;big data
163;2014;Computer Science, Software Engineering;10.1017/S1471068414000131;Efficient Computation of the Well-Founded Semantics over Big Data;3.0;25.0;1.0;1.0;0.0;big data
164;2014;Computer Science, Theory & Methods;10.1017/S1471068414000131;Efficient Computation of the Well-Founded Semantics over Big Data;3.0;25.0;1.0;1.0;0.0;big data
165;2014;LOGIC;10.1017/S1471068414000131;Efficient Computation of the Well-Founded Semantics over Big Data;3.0;25.0;1.0;1.0;0.0;big data
166;2014;Psychology, Social;10.1027/1614-0001/a000139;Correlating Personality and Actual Phone Usage Evidence From Psychoinformatics;8.0;18.0;1.0;1.0;0.0;big data
